origem;destino;dist_km;tempo;abast.;abast.lt.;consm.lbs;decea;tx.aerop.;comissaria;fbo;hospedagem;Transporte;slot;outros;comissoes;variável trip.;receita;com.terceiros
SBRF;SBGR;2163,136;3;11529;1830;3658;759,8;502,32;520;600;;;;;242,4728836;1297,8816;16164,85891;
SBGR;SSBZ;450,036;0,7;8009,24;1300;1000;900,15;2622;;;;;;;50,44598521;540,0432;3363,06568;
SSBZ;SBBH;463;0,7;;;1150;;763,34;;;;;;;178,90625;555,6;11927,08333;
SBBH;SBGR;640,792;1,1;8811,2;1600;1330;759,8;502,32;119,8;600;;;;;288,7191912;1153,4256;19247,94608;
SBGR;SBBH;492,632;0,7;;;1090;900,15;763,34;;;;;;;221,9633088;886,7376;14797,55392;
SBBH;SBSP;744,504;1,2;3546,51;644;1580;759,8;730,68;599;1914;1734,6;;200;557,4;0;446,7024;0,01;
SBSP;SBBH;561,156;0,9;7932,97;946;1190;900,15;763,34;;;;;200;;0;673,3872;0,01;
SBBH;SWGN;1590,868;2,1;8535,85;1550;2750;759,8;447,59;600;350;;;;;741,9611993;954,5208;49464,07995;
SWGN;SBBH;1427,892;2;10140;1300;2290;269,34;763,34;;;;;;;434,1789038;856,7352;28945,26025;
SBBH;SBGV;246,316;0,5;3612,59;656;650;759,8;447,64;239,6;395;;;;;74,89726875;295,5792;4993,15125;
SBGV;SBBH;296,32;0,5;;;830;403,55;763,34;;;;;;;90,10197744;355,584;6006,798496;
SBBH;SBFL;1176,02;1,7;11685,85;2122;2000;759,8;659,42;119,8;650;;;;;395,6538462;705,612;26376,92308;
SBFL;SNDV;907,48;1,3;;;1510;900,15;435,43;;;;;;;305,3076923;544,488;20353,84615;
SNDV;SBBH;114,824;0,3;;;360;;763,34;;;;;;;38,63076923;68,8944;2575,384615;
SBBH;SWGN;1533,456;2,1;12390,75;2250;2510;759,8;447,59;479,2;;;;;;515,9076923;2760,2208;34393,84615;
SWGN;SBBH;1546,42;2,1;6708;860;2550;269,34;763,34;;350;;;;;721,2312007;2783,556;48082,08005;
SBBH;SSOL;235,204;0,4;6883,75;1250;680;759,8;;325;;;;;;94,34285714;141,1224;6289,52381;
SSOL;SBIP;311,136;0,5;;;710;;751,24;;;;;;;124,8;186,6816;8320;
SBIP;SBBH;231,5;0,4;;;650;;763,34;;;;;;;92,85714286;138,9;6190,47619;
SBBH;SBGR;600,048;0,9;5033,12;918;1290;759,8;528,29;825;800;;;;;349,9417637;360,0288;23329,45092;
SBGR;SBBH;513,004;0,8;5675,52;800;1090;900,15;763,34;;;;;;;235,0582363;307,8024;15670,54908;
SBBH;SBRJ;411,144;0,7;10038,82;1831;1000;759,8;725,89;;700;;;;;183,2669789;246,6864;12217,79859;
SBRJ;SSCN;1222,32;1,7;;;2190;759,8;;702,63;700;;;;;544,8477752;733,392;36323,18501;
SSCN;SBMG;738,948;1;6322,05;567;1360;;675,59;;;;;;;329,3852459;443,3688;21959,01639;
SBMG;SBBH;866,736;1,2;6795;906;1480;459,35;763,34;;;494,4;;;;0;520,0416;0,01;
SBBH;SDAM;555,6;0,9;9046,46;1650;1220;759,8;485,99;550;;;;;;176,5427054;333,36;11769,51369;
SDAM;SBNF;637,088;1,1;;;1500;;668;;900;;;;;202,4356355;382,2528;13495,70903;
